word,deprel,score
water,pobj,0.054949012088724936
zebra,pobj,0.3645829849766585
zebra,pobj,0.35003250796071184
water,pobj,0.05553312851478731
zebra,pobj,0.6682363741377495
zebra,nsubj,0.6871554811023853
baby,nsubj,0.11836144864070908
baby,dep,0.09171166249603824
water,pobj,0.3653254610570151
water,nn,0.15708475020220047
water,nn,0.4582167443749205
water,pobj,0.6001952044160938
water,pobj,0.6301086090670379
water,pobj,0.0528043967843036
water,pobj,0.03360714431522116
water,pobj,0.057065979387610925
water,pobj,0.06621559003043144
water,pobj,0.08503430964723635
water,pobj,0.1399347008730798
water,pobj,0.09696034203078407
water,pobj,0.2239970646972104
baby,root,0.25948795196596075
baby,root,0.28995518658313546
baby,nsubj,0.16708042555281766
baby,root,0.1957839712066636
baby,root,0.193953091862762
light,amod,0.059371867973039165
light,pobj,0.06982106960212785
baby,nsubj,0.27690929594548885
baby,root,0.5825867213985925
baby,root,0.4297455946121961
water,pobj,0.12493683884650385
water,pobj,0.17422894416760173
baby,nsubj,0.33605265503399584
zebra,nsubj,0.7101307564064252
baby,conj,0.04994808231512815
water,pobj,0.4246112131322396
baby,nn,0.03251906736832422
water,pobj,0.09498707713318964
water,pobj,0.015353765918333706
water,pobj,0.02995255468205005
water,pobj,0.053338790603681296
light,pobj,0.0761381695014628
water,pobj,0.022466668497779674
zebra,root,0.7910645377418789
zebra,pobj,0.6473849730238228
zebra,nsubj,0.11475034723222854
zebra,pobj,0.04615078906117386
baby,nn,0.009043509320322052
zebra,root,0.764480875379362
zebra,nn,0.8061181102728403
zebra,nsubjpass,0.9091171771080127
zebra,nsubj,0.6905843174063322
zebra,nsubj,0.7488476634582573
zebra,nn,0.7325926136903526
zebra,root,0.7075493230194284
zebra,root,0.6462457215172221
zebra,nn,0.7870281110407512
zebra,root,0.838414360294751
baby,conj,0.030100411232877437
stove,pobj,0.3314380298584815
water,pobj,0.12372316860142984
water,pobj,0.015897358068132642
water,pobj,0.11272206169868172
stove,nsubj,0.3745031362346298
stove,root,0.6962294939862333
stove,root,0.6984376982302282
stove,root,0.6099147802762671
stove,nn,0.03146588635768477
clock,pobj,0.37197079240839986
clock,nsubjpass,0.5557915110466207
clock,root,0.12629219484239362
clock,root,0.19977065600060484
clock,nsubj,0.17945334301305138
baby,root,0.2032143052426072
clock,root,0.4779419222288331
clock,nsubj,0.3832082533244452
clock,nn,0.040616288989474336
clock,root,0.30686037866661753
clock,nn,0.05643795751671244
stove,pobj,0.17233314581572956
water,pobj,0.18335665421934408
water,pobj,0.1620608179651616
water,dobj,0.16410720814274915
light,pobj,0.1382498165824202
water,pobj,0.16111837309783786
water,pobj,0.29543821793482533
water,pobj,0.06059756641071656
water,pobj,0.45004614981668706
water,nn,0.03080586503280092
water,pobj,0.009492869056764941
water,pobj,0.03893621356149135
water,pobj,0.17475452450187726
zebra,nsubj,0.912207652835802
zebra,root,0.7307212246677723
zebra,advmod,0.7713260058995254
baby,conj,0.015634791307514884
baby,nn,0.02291509498504496
zebra,root,0.7484193476718709
zebra,root,0.6612044922395067
zebra,root,0.8460456807282914
water,pobj,0.27151941690827386
water,pobj,0.22087001635062728
water,pobj,0.4532258977469703
water,pobj,0.27760130324524845
zebra,root,0.5203604617576953
zebra,nsubj,0.5855127681354713
zebra,amod,0.5581502157610772
zebra,nsubj,0.6753692295770588
zebra,root,0.7294589834570456
zebra,nn,0.02276916898985337
zebra,pobj,0.004590787213747949
zebra,nsubj,0.8756146461605014
baby,nn,0.012154697075113964
zebra,nn,0.6799826119469947
water,pobj,0.13100270076164333
water,pobj,0.3312317699490633
water,pobj,0.08197938740346834
water,pobj,0.044361509708696005
